FirmID,CostSysID,PACP,ACP,PDR,MPE
24,2,0,2,0,0.784210359
24,3,0,4,0,0.705671446
24,4,0,6,0,0.581989398
24,5,0,8,0,0.572748315
24,6,0,10,0,0.495473573
24,7,0,12,0,0.449684829
24,8,0,14,0,0.392886517
24,9,0,16,0,0.334927034
24,10,0,18,0,0.298994555
24,11,0,20,0,0.267820482
25,1,0,1,0,0.387361095
25,2,0,2,0,0.938929076
25,3,0,4,0,0.887212352
25,4,0,6,0,0.623307509
25,5,0,8,0,0.645723156
25,6,0,10,0,0.648213011
25,7,0,12,0,0.54678127
25,8,0,14,0,0.479817854
25,9,0,16,0,0.443007458
25,10,0,18,0,0.355618766
25,11,0,20,0,0.365133763
26,1,0,1,0,0.531166043
26,2,0,2,0,0.796741858
26,3,0,4,0,0.897059005
26,4,0,6,0,0.746569248
26,5,0,8,0,0.805136591
26,6,0,10,0,0.63012647
26,7,0,12,0,0.590321586
26,8,0,14,0,0.641559506
26,9,0,16,0,0.468213501
26,10,0,18,0,0.473888562
26,11,0,20,0,0.502177672
27,1,0,1,0,0.388214416
27,2,0,2,0,0.671161455
27,3,0,4,0,0.753839549
27,4,0,6,0,0.678122085
27,5,0,8,0,0.5853087
27,6,0,10,0,0.481896024
27,7,0,12,0,0.573251917
27,8,0,14,0,0.408405365
27,9,0,16,0,0.394640443
27,10,0,18,0,0.315517162
27,11,0,20,0,0.319845798
28,1,0,1,0,0.406819002
28,2,0,2,0,0.665410956
28,3,0,4,0,0.571579208
28,4,0,6,0,0.451485926
28,5,0,8,0,0.483598416
28,6,0,10,0,0.337942337
28,7,0,12,0,0.308524695
28,8,0,14,0,0.342700343
28,9,0,16,0,0.25207707
28,10,0,18,0,0.297200103
28,11,0,20,0,0.25085519
29,1,0,1,0,0.451200523
29,2,0,2,0,0.806687939
29,3,0,4,0,0.647228634
29,4,0,6,0,0.542589368
29,5,0,8,0,0.616459074
29,6,0,10,0,0.471678144
29,7,0,12,0,0.388417754
29,8,0,14,0,0.463290135
29,9,0,16,0,0.410560126
29,10,0,18,0,0.356439577
29,11,0,20,0,0.345554947
30,1,0,1,0,0.341280603
30,2,0,2,0,0.688690304
30,3,0,4,0,0.576276564
30,4,0,6,0,0.60165134
30,5,0,8,0,0.564039003
30,6,0,10,0,0.414382118
30,7,0,12,0,0.382237755
30,8,0,14,0,0.347780474
30,9,0,16,0,0.354912295
30,10,0,18,0,0.297935705
30,11,0,20,0,0.282084595
31,1,0,1,0,0.453881456
31,2,0,2,0,0.563242671
31,3,0,4,0,0.763681152
